ZoteroScannableCite	bibliographicCitation_cl
{ | Abromeit, 1895 | | |zu:4723341:C74YRYKS}	(Abromeit 1895)
{ | Alstrup, & Ahti, 2007 | | |zu:4723341:X9ALI58E}	(Alstrup & Ahti 2007)
{ | Alstrup, 2014 | | |zu:4723341:GNU9XDAE}	(Alstrup 2014)
{ | Ariyawansa, et al., 2015 | | |zu:4723341:MAB244MX}	(Ariyawansa et al. 2015)
{ | Banker, 1929 | | |zu:4723341:6DLB7TMY}	(Banker 1929)
{ | Berkeley, 1875 | | |zu:4723341:RAM8JTL5}	(Berkeley 1875)
{ | Bernicchia, & Gorjón, 2010 | | |zu:4723341:32X63HG8}	(Bernicchia & Gorjón 2010)
{ | Boidin, & Lanquetin, 1987 | | |zu:4723341:4JHCGTY4}	(Boidin & Lanquetin 1987)
{ | Bolshakov, et al., 2016 | | |zu:4723341:Y7NKXUV8}	(Bolshakov et al. 2016)
{ | Bolshakov, et al., 2018 | | |zu:4723341:JMQFZJI3}	(Bolshakov et al. 2018)
{ | Bolshakov, et al., 2020 | | |zu:4723341:YQDT892I}	(Bolshakov et al. 2020)
{ | Bondartseva, & Kotkova, 2003 | | |zu:4723341:79NNHCLR}	(Bondartseva & Kotkova 2003)
{ | Bondartseva, & Lositskaya, 2000 | | |zu:4723341:XT8RSQFW}	(Bondartseva & Lositskaya 2000)
{ | Bondartseva, & Zmitrovich, 2004 | | |zu:4723341:XINPD4FJ}	(Bondartseva & Zmitrovich 2004)
{ | Bondartseva, et al., 2000 | | |zu:4723341:JRNG2CQ5}	(Bondartseva et al. 2000)
{ | Bondarzew, 1959 | | |zu:4723341:2QDBF5BY}	(Bondarzew 1959)
{ | Bondarzew, 1965 | | |zu:4723341:9SJ9VXZ9}	(Bondarzew 1965)
{ | Bourdot, & Galzin, 1928 | | |zu:4723341:UPFQXM6I}	(Bourdot & Galzin 1928)
{ | Bresadola, 1897 | | |zu:4723341:UQEYNA66}	(Bresadola 1897)
{ | Bresadola, 1926 | | |zu:4723341:YLL9NFCP}	(Bresadola 1926)
{ | Bucholtz, 1897 | | |zu:4723341:E5YFBD8H}	(Bucholtz 1897b)
{ | Bucholtz, 1897 | | |zu:4723341:TE48AYVX}	(Bucholtz 1897a)
{ | Burt, 1931 | | |zu:4723341:K9SM4BMH}	(Burt 1931)
{ | Campbell, & Davidson, 1938 | | |zu:4723341:GKDWZQKQ}	(Campbell & Davidson 1938)
{ | Carlson, et al., 2014 | | |zu:4723341:AY3JJ7J5}	(Carlson et al. 2014)
{ | Chlebicki, et al., 2003 | | |zu:4723341:QBEJTW69}	(Chlebicki et al. 2003)
{ | Christiansen, 1960 | | |zu:4723341:2YHLTF3F}	(Christiansen 1960)
{ | Coker, 1923 | | |zu:4723341:S4FEIJ99}	(Coker 1923)
{ | Corfixen, & Parmasto, 2005 | | |zu:4723341:ZKVBCM6Y}	(Corfixen & Parmasto 2005)
{ | Corfixen, & Parmasto, 2017 | | |zu:4723341:5BUUXGTI}	(Corfixen & Parmasto 2017)
{ | Corner, 1950 | | |zu:4723341:GTKD82NX}	(Corner 1950)
{ | Corner, 1966 | | |zu:4723341:JTD9EKZE}	(Corner 1966)
{ | Corner, 1968 | | |zu:4723341:DHN47TFG}	(Corner 1968)
{ | Corner, 1970 | | |zu:4723341:DIU6II8A}	(Corner 1970)
{ | Cotton, & Wakefield, 1917 | | |zu:4723341:AX3UK9ZW}	(Cotton & Wakefield 1917)
{ | Czernyadjeva, et al., 2017 | | |zu:4723341:9E6AMDHC}	(Czernyadjeva et al. 2017)
{ | Czernyadjeva, et al., 2018 | | |zu:4723341:QMBA5PDX}	(Czernyadjeva et al. 2018)
{ | Czernyadjeva, et al., 2019 | | |zu:4723341:HWJBNXYD}	(Czernyadjeva et al. 2019)
{ | Czernyadjeva, et al., 2020 | | |zu:4723341:KJEQTDMN}	(Czernyadjeva et al. 2020a)
{ | Czernyadjeva, et al., 2020 | | |zu:4723341:ZVMNKFMJ}	(Czernyadjeva et al. 2020b)
{ | Czernyadjeva, et al., 2021 | | |zu:4723341:NSEYQYM4}	(Czernyadjeva et al. 2021)
{ | Dai, & Niemelä, 2002 | | |zu:4723341:8VFNKPA7}	(Dai & Niemelä 2002)
{ | Dai, et al., 2003 | | |zu:4723341:DNA3VGSI}	(Dai et al. 2003)
{ | Diederich, 1996 | | |zu:4723341:V4D5A6SF}	(Diederich 1996)
{ | Donk, 1933 | | |zu:4723341:YCUDSCJ4}	(Donk 1933)
{ | Donk, 1963 | | |zu:4723341:VA5ELE69}	(Donk 1963)
{ | Donk, 1967 | | |zu:4723341:UBIE7NKT}	(Donk 1967)
{ | Dvořák, et al., 2014 | | |zu:4723341:Q53Q2CJM}	(Dvořák et al. 2014)
{ | Eriksson, & Ryvarden, 1976 | | |zu:4723341:6B9UJ6NK}	(Eriksson & Ryvarden 1976)
{ | Ezhov, & Zmitrovich, 2015 | | |zu:4723341:NYMC75UY}	(Ezhov & Zmitrovich 2015)
{ | Ezhov, & Zmitrovich, 2017 | | |zu:4723341:HH98MTLA}	(Ezhov & Zmitrovich 2017)
{ | Ezhov, et al., 2012 | | |zu:4723341:4YNYUXIC}	(Ezhov et al. 2012a)
{ | Ezhov, et al., 2017 | | |zu:4723341:ZLID9KNF}	(Ezhov et al. 2017a)
{ | Feng, et al., 2016 | | |zu:4723341:QLC759U9}	(Feng et al. 2016)
{ | Fries, 1838 | | |zu:4723341:FZE3UJWT}	(Fries 1838)
{ | Fries, 1874 | | |zu:4723341:58N6ID6C}	(Fries 1874)
{ | Fryssouli, et al., 2020 | | |zu:4723341:RMMVXZ6L}	(Fryssouli et al. 2020)
