substrate	type_en	type_ru
algae	algae	водорослях
Coccomyxa	algae	водорослях
Biscogniauxia	ascomata	аскомах
Colpoma	ascomata	аскомах
Kretzschmaria	ascomata	аскомах
Lophodermium	ascomata	аскомах
pyrenomycetes	ascomata	аскомах
Aleurodiscus	basidiomata	базидиомах
Amylocorticiellum	basidiomata	базидиомах
Amyloporia	basidiomata	базидиомах
basidiomata	basidiomata	базидиомах
Calvatia	basidiomata	базидиомах
Cantharellus	basidiomata	базидиомах
Collybia	basidiomata	базидиомах
Cystostereum	basidiomata	базидиомах
Dacrymyces	basidiomata	базидиомах
Daedaleopsis	basidiomata	базидиомах
Datronia	basidiomata	базидиомах
Fomes	basidiomata	базидиомах
Fomitiporia	basidiomata	базидиомах
Fomitopsis	basidiomata	базидиомах
Ganoderma	basidiomata	базидиомах
Gloeophyllum	basidiomata	базидиомах
Gloeoporus	basidiomata	базидиомах
Gymnopus	basidiomata	базидиомах
Heterobasidion	basidiomata	базидиомах
Hydnoporia	basidiomata	базидиомах
Hymenochaete	basidiomata	базидиомах
Inocutis	basidiomata	базидиомах
Inonotus	basidiomata	базидиомах
Ischnoderma	basidiomata	базидиомах
Kneiffiella	basidiomata	базидиомах
Kurtia	basidiomata	базидиомах
Lyomyces	basidiomata	базидиомах
Mensularia	basidiomata	базидиомах
Naematelia	basidiomata	базидиомах
Peniophora	basidiomata	базидиомах
Phaeolus	basidiomata	базидиомах
Phanerochaete	basidiomata	базидиомах
Phellinidium	basidiomata	базидиомах
Phellinopsis	basidiomata	базидиомах
Phellinus	basidiomata	базидиомах
Phellopilus	basidiomata	базидиомах
Phylloporia	basidiomata	базидиомах
Porodaedalea	basidiomata	базидиомах
Postia	basidiomata	базидиомах
Rhodofomes	basidiomata	базидиомах
Stereum	basidiomata	базидиомах
Tomentella	basidiomata	базидиомах
Trametes	basidiomata	базидиомах
Trichaptum	basidiomata	базидиомах
Athyrium	ferns	папоротниках
Cystopteris	ferns	папоротниках
Dryopteris	ferns	папоротниках
ferns	ferns	папоротниках
Matteuccia	ferns	папоротниках
Pteridium	ferns	папоротниках
Pteris	ferns	папоротниках
Achillea	herbs	травах
Aconitum	herbs	травах
Adonis	herbs	травах
Agropyron	herbs	травах
Alisma	herbs	травах
Alopecurus	herbs	травах
Amaranthus	herbs	травах
Angelica	herbs	травах
Anthoxanthum	herbs	травах
Anthriscus	herbs	травах
Anthyllis	herbs	травах
Apiaceae	herbs	травах
Arabidopsis	herbs	травах
Arctagrostis	herbs	травах
Arctium	herbs	травах
Armoracia	herbs	травах
Artemisia	herbs	травах
Asparagus	herbs	травах
Avena	herbs	травах
Barbarea	herbs	травах
Beta	herbs	травах
Brassica	herbs	травах
Bromus	herbs	травах
Bupleurum	herbs	травах
Calamagrostis	herbs	травах
Calystegia	herbs	травах
Campanula	herbs	травах
Capsella	herbs	травах
Carex	herbs	травах
Cerastium	herbs	травах
Cirsium	herbs	травах
Cladium	herbs	травах
Convolvulus	herbs	травах
Cucumis	herbs	травах
Cucurbita	herbs	травах
Dactylis	herbs	травах
Deschampsia	herbs	травах
Dioscorea	herbs	травах
Eleocharis	herbs	травах
Elytrigia	herbs	травах
Epilobium	herbs	травах
Equisetum	herbs	травах
Euphorbia	herbs	травах
Festuca	herbs	травах
Filipendula	herbs	травах
Gentiana	herbs	травах
Geranium	herbs	травах
Goodyera	herbs	травах
Helianthus	herbs	травах
Heracleum	herbs	травах
herbs	herbs	травах
Hierochloe	herbs	травах
Hordeum	herbs	травах
Humulus	herbs	травах
Iris	herbs	травах
Juncus	herbs	травах
Koeleria	herbs	травах
Linaria	herbs	травах
Linum	herbs	травах
Lotus	herbs	травах
Lupinus	herbs	травах
Medicago	herbs	травах
Melica	herbs	травах
Melilotus	herbs	травах
Menispermum	herbs	травах
Molinia	herbs	травах
Myosotis	herbs	травах
Orthilia	herbs	травах
Parasenecio	herbs	травах
Phleum	herbs	травах
Phragmites	herbs	травах
Plantago	herbs	травах
Poa	herbs	травах
Poaceae	herbs	травах
Polygonum	herbs	травах
Pyrola	herbs	травах
Ranunculus	herbs	травах
Rubus	herbs	травах
Salvia	herbs	травах
Scabiosa	herbs	травах
Schoenoplectus	herbs	травах
Schoenus	herbs	травах
Scirpus	herbs	травах
Secale	herbs	травах
Sinapis	herbs	травах
Sisymbrium	herbs	травах
Solanum	herbs	травах
Sonchus	herbs	травах
Stellaria	herbs	травах
Stipa	herbs	травах
Thlaspi	herbs	травах
Trifolium	herbs	травах
Triticum	herbs	травах
Tulipa	herbs	травах
Typha	herbs	травах
Urtica	herbs	травах
Veratrum	herbs	травах
Verbascum	herbs	травах
Veronica	herbs	травах
Zea	herbs	травах
Bryoria	lichens	лишайниках
Caloplaca	lichens	лишайниках
Candelariella	lichens	лишайниках
Cetrariella	lichens	лишайниках
Cladonia	lichens	лишайниках
Hypogymnia	lichens	лишайниках
Lecania	lichens	лишайниках
Lecanora	lichens	лишайниках
lichens	lichens	лишайниках
Melanelia	lichens	лишайниках
Melanohalea	lichens	лишайниках
Mycoblastus	lichens	лишайниках
Nephroma	lichens	лишайниках
Parmelia	lichens	лишайниках
Phaeophyscia	lichens	лишайниках
Physcia	lichens	лишайниках
Physconia	lichens	лишайниках
