acceptedNameUsage	synonyms	substrates	region_citations
Abortiporus biennis (Bull.) Singer!1	≡ Daedalea biennis (Bull.) Fr.!2 ≡ Polyporus biennis (Bull.) Fr.!3	On wood (*Alnus*, *Betula*, *Malus*, *Picea*, *Populus*, *Quercus*, *Salix*, *Ulmus*), soil.	**Bashkortostan** (^1^Safonov 1999); **Belgorod Oblast** (^1^Volobuev & Bolshakov 2016); **Kaluga Oblast** (^1^Popov & Volobuev 2014); **Kirov Oblast** (^1^Stavishenko & Veselovskaya 2011; ^1^Kotkova 2013d); **Leningrad Oblast** (^1^Kotkova 2013c; ^1^Geltman et al. 2018; ^1^Geltman 2018a); **Mari El Republic** (^2^Nikolajeva 1940; ^1^Bondartsev 1953); **Mordovia** (^1^Bolshakov & Zmitrovich 2014; ^1^Bolshakov 2015a); **Moscow** (^3^Bucholtz 1897b; ^3^Bucholtz 1897c; ^3^Mosolov 1906); **Moscow Oblast** (^1^Bondartsev 1953; ^1^Barsukova 1999; ^1^Barsukova & Mamedova 2001); **Nizhny Novgorod Oblast** (^1^Spirin 2001a; ^1^Spirin 2003b; ^1^Spirin & Shirokov 2005); **Novgorod Oblast** (^1^Kotkova 2012a; ^1^Vetkin et al. 2015); **Orenburg Oblast** (^1^Safonov 2002; ^1^Safonov et al. 2013; ^1^Safonov et al. 2014; ^1^Safonov 2015b); **Oryol Oblast** (^1^Volobuev 2015a); **Rostov Oblast** (^1^Zmitrovich et al. 2008b); **Ryazan Oblast** (^1^Volosnova 2007; ^1^Volosnova 2014); **Saint Petersburg** (^1^Psurtseva et al. 2007); **Smolensk Oblast** (^3^Jaczewski 1898); **Tatarstan** (^1^Vassiljeva 1977); **Volgograd Oblast** (^1^Kuragina 2014a; ^1^Kuragina 2014b); **Yaroslavl Oblast** (^1^Kondakova 2020); **ZZ Arid territories** (^1^Rebriev et al. 2012b)
Acanthophysellum cerussatum (Bres.) Parmasto!1	≡ Aleurodiscus cerussatus (Bres.) Höhn. & Litsch.!2	On wood (*Corylus*, *Picea*, *Prunus*, *Salix*, *Tilia*, *Ulmus*).	**Kirov Oblast** (^1^Volobuev et al. 2021); **Komi Republic** (^2^Kosolapov 2008b; ^2^Ezhov 2014a); **Moscow Oblast** (^2^Karpova-Benois 1931); **Oryol Oblast** (^2^Volobuev et al. 2013a; ^2^Volobuev 2013b; ^2^Volobuev 2015a); **Perm Krai** (^2^Perevedentsev & Stepanova 1983; ^2^Perevedentsev 1985); **Ryazan Oblast** (^2^Volosnova 2014); **Samara Oblast** (^2^Malysheva 2002; ^2^Malysheva & Malysheva 2004; ^1^Malysheva & Malysheva 2008); **Tver Oblast** (^2^Kotkova 2016a); **Vologda Oblast** (^1^Kotkova 2021)
Acanthophysellum lapponicum (Litsch.) Sheng H. Wu, Boidin & C.Y. Chien	NA	On wood (*Salix*).	**Ryazan Oblast** (Volosnova 2007; Volosnova 2014)
Acanthophysellum lividocoeruleum (P. Karst.) Parmasto!1	≡ Aleurodiscus lividocoeruleus (P. Karst.) P.A. Lemke!2 ≡ Corticium lividocoeruleum P. Karst.!3	On wood (*wood*, *Abies*, *Acer*, *Betula*, *Juniperus*, *Larix*, *Picea*, *Pinus*).	**Arkhangelsk Oblast** (^2^Ezhov et al. 2010; ^2^Ezhov et al. 2011; ^2^Ezhov 2013; ^2^Ezhov 2014a; ^2^Kotkova 2014a; ^2^Ezhov & Zmitrovich 2015; ^1^Ezhov et al. 2017a); **Karelia** (^3^Karsten 1866; ^3^Karsten 1876; ^3^Karsten 1889; ^2^Kotkova & Bondartseva 2006; ^2^Ezhov 2014a; ^2^Krutov et al. 2014; ^1^Ruokolainen & Kotkova 2019; ^2^Ruokolainen & Kotkova 2021); **Komi Republic** (^2^Kosolapov 2008b; ^2^Ezhov 2014a; ^2^Viner 2015); **Leningrad Oblast** (^2^Popov et al. 2007; ^2^Kotkova 2007b); **Murmansk Oblast** (^2^Isaeva & Khimich 2011; ^2^Ezhov 2014a); **Nizhny Novgorod Oblast** (^2^Spirin 2003b); **Samara Oblast** (^1^Malysheva & Malysheva 2005; ^1^Malysheva & Malysheva 2008)
Acanthophysellum minor (Pilát) Sheng H. Wu, Boidin & C.Y. Chien	NA	On wood (*Pyrus*, *Salix*).	**Lipetsk Oblast** (Volobuev et al. 2018; Volobuev et al. 2020; Sarycheva 2021); **Yaroslavl Oblast** (Volobuev et al. 2021)
Achroomyces disciformis (Fr.) Donk	≡ Platygloea disciformis (Fr.) Neuhoff!1 = Platygloea nigricans (Fr.) J. Schröt.!2	On wood (*Betula*, *Tilia*).	**Leningrad Oblast** (^1^Raitviir 1967); **Smolensk Oblast** (^2^Jaczewski 1898)
Albatrellus citrinus Ryman	NA	On soil.	**Bashkortostan** (Volobuev et al. 2021)
Albatrellus confluens (Alb. & Schwein.) Kotl. & Pouzar!1	≡ Polypilus confluens (Alb. & Schwein.) P. Karst.!2 ≡ Scutiger confluens (Alb. & Schwein.) Bondartsev & Singer!3	On wood (*Larix*), litter, soil.	**Arkhangelsk Oblast** (^3^Bondartsev 1953; ^1^Ruokolainen & Kotkova 2004; ^1^Ruokolainen 2006; ^1^Kotkova 2009a; ^1^Ezhov & Ruokolainen 2011; ^1^Ezhov 2013; ^1^Kotkova 2013b; ^1^Ezhov 2015; ^1^Ezhov & Ruokolainen 2016; ^1^Ezhov et al. 2017a); **Karelia** (^3^Bondartsev 1953; ^1^Bondartseva 1998; ^1^Lositskaya et al. 1999; Bondartseva et al. 2001; Bondartseva et al. 2001, as Albatrellus subrubescens (Murrill) Pouzar; ^1^Kotkova et al. 2006a; ^1^Krutov & Ruokolainen 2010; ^1^Krutov et al. 2014; ^1^Predtechenskaya & Ruokolainen 2014; ^1^Ruokolainen & Kotkova 2014; ^1^Ruokolainen & Manninen 2015; ^1^Zavodovskii 2015; ^1^Ruokolainen 2015; ^1^Kotkova 2019a); **Leningrad Oblast** (^2^Thesleff 1920; ^3^Bondartsev 1953; ^3^Nikolajeva 1963; ^1^Bondartseva 1998; ^1^Bondartseva et al. 1999a; ^1^Zmitrovich 2003; ^1^Popov et al. 2007; ^1^Kotkova 2007b; ^1^Zmitrovich et al. 2015b; ^1^Kotkova 2017b); **Lipetsk Oblast** (^3^Rtishcheva 1999; ^3^Afanasyev et al. 2007; ^1^Sarycheva et al. 2009; ^1^Shcherbakov 2014; ^1^Sarycheva et al. 2017); **Murmansk Oblast** (^3^Bondartsev 1953; ^1^Bondartseva 1998; ^1^Isaeva & Khimich 2011; ^1^Khimich et al. 2017b); **Vologda Oblast** (^1^Kotkova 2021); **Voronezh Oblast** (^3^Rtishcheva 1999; ^3^Afanasyev et al. 2007; ^3^Agafonov 2011; ^1^Sarycheva et al. 2017; ^1^Agafonov 2018)
Albatrellus ovinus (Schaeff.) Kotl. & Pouzar!1	≡ Polyporus ovinus (Schaeff.) Fr.!2 ≡ Scutiger ovinus (Schaeff.) Murrill!3	On wood (*Larix*), litter, soil.	**Arkhangelsk Oblast** (^1^Bondartseva 1998; ^1^Ruokolainen & Kotkova 2004; ^1^Ruokolainen 2006; ^1^Kotkova 2009a; ^1^Ezhov et al. 2011; ^1^Ezhov & Ruokolainen 2011; ^1^Ezhov 2013; ^1^Kotkova 2013b; ^1^Ezhov & Zmitrovich 2015; ^1^Ezhov 2015; ^1^Ezhov & Ruokolainen 2016; ^1^Ezhov et al. 2017a); **Kaliningrad Oblast** (^1^Dedkov et al. 2007b); **Karelia** (^3^Bondartsev 1953; ^1^Bondartseva 1998; ^1^Lositskaya 2000a; ^1^Bondartseva et al. 2001; ^1^Bondartseva & Kotkova 2003; ^1^Kotkova Lositskaya & Ruokolainen 2003; ^1^Ruokolainen 2003; ^1^Kotkova et al. 2006a; ^1^Krutov & Ruokolainen 2008; ^1^Zavodovsky 2012; ^1^Predtechenskaya & Ruokolainen 2013; ^1^Ruokolainen 2013; ^1^Krutov et al. 2014; ^1^Predtechenskaya & Ruokolainen 2014; ^1^Ruokolainen & Manninen 2015; ^1^Zavodovskii 2015; ^1^Kotkova 2019a; ^1^Ruokolainen & Kotkova 2019); **Kirov Oblast** (^1^Kotkova 2015c); **Komi Republic** (^1^Hermansson 1997; ^1^Kosolapov 2008b); **Leningrad Oblast** (^2^Thesleff 1920; ^3^Bondartsev 1953; ^1^Bondartseva 1998; ^1^Bondartseva et al. 1999a; ^1^Zmitrovich 2003; ^1^Kotkova 2004a; ^1^Popov et al. 2007; ^1^Kotkova 2007b; ^1^Zmitrovich et al. 2015b); **Mari El Republic** (^3^Bondartsev 1953; ^1^Bondartseva 1998); **Moscow Oblast** (^1^Gorlenko et al. 1989; ^1^Bondartseva 1998; ^1^Barsukova 1999; ^1^Barsukova 2005; ^1^Varlygina et al. 2008; ^1^Ordynets & Volobuev 2014; ^1^Varlygina et al. 2018); **Murmansk Oblast** (^3^Bondartsev 1953; ^1^Bondartseva 1998; ^1^Isaeva & Khimich 2011; ^1^Isaeva & Khimich 2015; ^1^Khimich et al. 2017b); **Nizhny Novgorod Oblast** (^1^Spirin 2001b; ^1^Spirin 2003b); **Novgorod Oblast** (^1^Kotkova 2012a; ^1^Popov et al. 2013); **Perm Krai** (^2^Naoumoff 1915; ^3^Perevedentsev & Stepanova 1981; ^3^Perevedentsev 1985); **Pskov Oblast** (^1^Kotkova 2004b; ^1^Kotkova & Popov 2012; ^1^Kotkova & Popov 2013; ^1^Popov et al. 2013); **Saint Petersburg** (^3^Nikolajeva 1959; ^1^Bondartseva et al. 1999a; ^1^Kotkova 2017a); **Tatarstan** (^3^Vassiljeva 1977; ^1^Nazirov et al. 2016); **Udmurt Republic** (^1^Tychinin & Kuzmina 2003)
Albatrellus pes-caprae (Pers.) Pouzar	≡ Scutiger pes-caprae (Pers.) Bondartsev & Singer!1	No data about substrate.	**Kaliningrad Oblast** (^1^Dedkov & Grishanov 2010)
