ZoteroScannableCite
{ | Abromeit, 1895 | | |zu:4723341:C74YRYKS}
{ | Alstrup, & Ahti, 2007 | | |zu:4723341:X9ALI58E}
{ | Alstrup, 2014 | | |zu:4723341:GNU9XDAE}
{ | Ariyawansa, et al., 2015 | | |zu:4723341:MAB244MX}
{ | Bolshakov, et al., 2016 | | |zu:4723341:Y7NKXUV8}
{ | Bolshakov, et al., 2018 | | |zu:4723341:JMQFZJI3}
{ | Bolshakov, et al., 2020 | | |zu:4723341:YQDT892I}
{ | Bondartseva, & Kotkova, 2003 | | |zu:4723341:79NNHCLR}
{ | Bondartseva, & Lositskaya, 2000 | | |zu:4723341:XT8RSQFW}
{ | Bondartseva, & Zmitrovich, 2004 | | |zu:4723341:XINPD4FJ}
{ | Bondartseva, et al., 2000 | | |zu:4723341:JRNG2CQ5}
{ | Bondarzew, 1959 | | |zu:4723341:2QDBF5BY}
{ | Bondarzew, 1965 | | |zu:4723341:9SJ9VXZ9}
{ | Bresadola, 1926 | | |zu:4723341:YLL9NFCP}
{ | Bucholtz, 1897 | | |zu:4723341:E5YFBD8H}
{ | Bucholtz, 1897 | | |zu:4723341:TE48AYVX}
{ | Burt, 1931 | | |zu:4723341:K9SM4BMH}
{ | Chlebicki, et al., 2003 | | |zu:4723341:QBEJTW69}
{ | Corfixen, & Parmasto, 2005 | | |zu:4723341:ZKVBCM6Y}
{ | Corfixen, & Parmasto, 2017 | | |zu:4723341:5BUUXGTI}
{ | Corner, 1970 | | |zu:4723341:DIU6II8A}
{ | Czernyadjeva, et al., 2017 | | |zu:4723341:9E6AMDHC}
{ | Czernyadjeva, et al., 2018 | | |zu:4723341:QMBA5PDX}
{ | Czernyadjeva, et al., 2019 | | |zu:4723341:HWJBNXYD}
{ | Czernyadjeva, et al., 2020 | | |zu:4723341:KJEQTDMN}
{ | Czernyadjeva, et al., 2020 | | |zu:4723341:ZVMNKFMJ}
{ | Czernyadjeva, et al., 2021 | | |zu:4723341:NSEYQYM4}
{ | Dai, & Niemelä, 2002 | | |zu:4723341:8VFNKPA7}
{ | Dai, et al., 2003 | | |zu:4723341:DNA3VGSI}
{ | Diederich, 1996 | | |zu:4723341:V4D5A6SF}
{ | Ezhov, & Zmitrovich, 2015 | | |zu:4723341:NYMC75UY}
{ | Ezhov, & Zmitrovich, 2017 | | |zu:4723341:HH98MTLA}
{ | Ezhov, et al., 2012 | | |zu:4723341:4YNYUXIC}
{ | Ezhov, et al., 2017 | | |zu:4723341:ZLID9KNF}
{ | Feng, et al., 2016 | | |zu:4723341:QLC759U9}
{ | Fries, 1838 | | |zu:4723341:FZE3UJWT}
{ | Ghobad-Nejhad, & Hallenberg, 2012 | | |zu:4723341:74ITR3FD}
{ | Hennings, 1895 | | |zu:4723341:VLUYQ2PQ}
{ | Hennings, 1903 | | |zu:4723341:9PT8PY23}
{ | Hennings, 1904 | | |zu:4723341:3DYFICBZ}
{ | Hennings, 1905 | | |zu:4723341:LML8RING}
{ | Heyden, 1899 | | |zu:4723341:YBRQ3H7Y}
{ | Himelbrant, et al., 2013 | | |zu:4723341:AKHHI3JU}
{ | Himelbrant, et al., 2016 | | |zu:4723341:MX3WLVNB}
{ | Himelbrant, et al., 2016 | | |zu:4723341:SNTUS2R2}
{ | Himelbrant, et al., 2017 | | |zu:4723341:LVRWT76U}
{ | Himelbrant, et al., 2018 | | |zu:4723341:26JNNFUT}
{ | Himelbrant, et al., 2021 | | |zu:4723341:2MT376ZV}
{ | Isaeva, et al., 2015 | | |zu:4723341:AACNHIIH}
{ | Jaczewski, 1893 | | |zu:4723341:TRDRI62S}
{ | Jaczewski, 1896 | | |zu:4723341:8U7LP4JY}
{ | Jaczewski, 1898 | | |zu:4723341:ZZ6F55NN}
{ | Jülich, 1972 | | |zu:4723341:7Q2V8HMB}
{ | Kalinina, et al., 2020 | | |zu:4723341:4H66GC7H}
{ | Karsten, 1866 | | |zu:4723341:MQL978N9}
{ | Karsten, 1876 | | |zu:4723341:WQ5HD7G6}
{ | Karsten, 1883 | | |zu:4723341:RQWMPVKP}
{ | Karsten, 1889 | | |zu:4723341:I2VVUGJU}
{ | Karsten, 1891 | | |zu:4723341:HFF894RJ}
{ | Karsten, 1892 | | |zu:4723341:G48JURMI}
{ | Karsten, 1892 | | |zu:4723341:QXU3I758}
{ | Karsten, 1894 | | |zu:4723341:K2FPBZTH}
{ | Karsten, 1904 | | |zu:4723341:834ZZD8Z}
{ | Khimich, & Borovichev, 2017 | | |zu:4723341:MITEXLTP}
{ | Khimich, & Zmitrovich, 2017 | | |zu:4723341:S76MCBEB}
{ | Khimich, et al., 2016 | | |zu:4723341:5H8REUMJ}
{ | Khimich, et al., 2017 | | |zu:4723341:8BEDMQHS}
{ | Khimich, et al., 2020 | | |zu:4723341:EPIAVLHT}
{ | Killermann, 1943 | | |zu:4723341:RSUCUUFK}
{ | Kinnunen, & Niemelä, 2005 | | |zu:4723341:BBLIZWI5}
{ | Kochergina, & Furmenkova, 2019 | | |zu:4723341:UTGRJT9A}
{ | Kõljalg, 1996 | | |zu:4723341:U9264Y7D}
{ | Korhonen, et al., 1997 | | |zu:4723341:52ZKMAVR}
{ | Korhonen, et al., 2018 | | |zu:4723341:8ATBSEKN}
{ | Kotiranta, & Saarenoksa, 2005 | | |zu:4723341:DC2MANV3}
{ | Kotiranta, et al., 2005 | | |zu:4723341:45KHF5R3}
{ | Kotiranta, et al., 2007 | | |zu:4723341:LK6V6BMB}
{ | Kotkova, et al., 2021 | | |zu:4723341:FFP46BCU}
